A00;Colera
I70;Aterosclerosi
I71;Aneurisma e dissezione dell'aorta
I72;Altro aneurisma
I73;Altre malattie vascolari periferiche
I74;Embolia e trombosi arteriose
I77;Altri disturbi di arterie e arteriole
I78;Malattie dei capillari
I79;Disturbi delle arterie delle arteriole e dei capillari in malattie classificate altrove
I80;Flebite e tromboflebite
I81;Trombosi della vena porta
I82;Altre forme di embolia e trombosi venose
I83;Varici (venose) degli arti inferiori
I84;Emorroidi
I85;Varici esofagee
I86;Varici (venose) di altre sedi
I87;Altri disturbi delle vene
I88;Linfadenite non specifica
I89;Altri disturbi non infettivi dei vasi linfatici e dei linfonodi
I95;Ipotensione
I97;Disturbi del sistema circolatorio successivi a procedure diagnostiche o terapeutiche non classificati altrove
I98;Altri disturbi del sistema circolatorio in malattie classificate altrove
I99;Altri e non specificati disturbi del sistema circolatorio
J00;Rinofaringite acuta [raffreddore comune]
J01;Sinusite acuta
J02;Faringite acuta
J03;Tonsillite acuta
J04;Laringite e tracheite acute
J05;Laringite ostruttiva acuta [croup] e epiglottite
J06;Infezioni acute di sedi multiple e non specificate delle alte vie respiratorie
J10;Influenza virus influenzale identificato
J11;Influenza virus non identificato
J12;Polmonite virale non classificata altrove
J13;Polmonite da Streptococcus pneumoniae
J14;Polmonite da Haemophilus influenzae
J15;Polmonite batterica non classificata altrove
J16;Polmonite da altri microrganismi infettivi non classificata altrove
J17;Polmonite in malattie classificate altrove
J18;Polmonite da microrganismo non specificato
J20;Bronchite acuta
J21;Bronchiolite acuta
J22;Infezione acuta delle basse vie respiratorie non specificata
J30;Rinite allergica e vasomotoria
J31;Rinite rinofaringite e faringite croniche
J32;Sinusite cronica
J33;Polipo nasale
J34;Altri disturbi del naso e dei seni paranasali
J35;Malattie croniche delle tonsille e delle adenoidi
J36;Ascesso peritonsillare
J37;Laringite e laringotracheite croniche
J38;Malattie delle corde vocali e della laringe non classificate altrove
J39;Altre malattie delle alte vie respiratorie
J40;Bronchite non specificata come acuta o cronica
J41;Bronchite cronica semplice e mucopurulenta
J42;Bronchite cronica non specificata
J43;Enfisema
J44;Altre pneumopatie ostrutitive croniche
J45;Asma
J46;Stato di male asmatico
J47;Bronchiectasia
J60;Pneumoconiosi dei lavoratori del carbone
J61;Pneumoconiosi da asbesto [amianto] ed altre fibre minerali
J62;Pneumoconiosi da polveri contenenti silice
J63;Pneumoconiosi da altre polveri inorganiche
J64;Pneumoconiosi non specificata
J65;Pneumoconiosi associata a tubercolosi
J66;Malattie delle vie aeree causate da polveri organiche specifiche
J67;Polmonite da ipersensibilità a polveri organiche
J68;Condizioni morbose respiratorie da inalazione di sostanze chimiche gas fumi e vapori
J69;Polmoniti da sostanze solide o liquide
J70;Condizioni morbose respiratorie da altri agenti esterni
J80;Sindrome di sofferenza [distress] respiratoria(o) dell’adulto [ARDS]
J81;Edema polmonare
J82;Eosinofilia polmonare non classificata altrove
J84;Altre pneumopatie interstiziali
J85;Ascesso del polmone e del mediastino
J86;Piotorace
J90;Versamento pleurico non classificato altrove
J91;Versamento pleurico in condizioni morbose classificate altrove
J92;Placca pleurica
J93;Pneumotorace
J94;Altre condizioni morbose della pleura
J95;Disturbi respiratori iatrogeni non classificati altrove
J96;Insufficienza respiratoria non classificata altrove
J98;Altri disturbi respiratori
J99;Disturbi respiratori in malattie classificate altrove
K00;Disturbi dello sviluppo e dell’eruzione dei denti
K01;Denti inclusi e ritenuti
K02;Carie dentaria
K03;Altre malattie dei tessuti duri dei denti
K04;Malattie della polpa e dei tessuti periapicali
K05;Gengiviti e periodontopatie
K06;Altri disturbi della gengiva e della cresta alveolare edentula
K07;Anomalie odontofacciali [compresa la malocclusione]
K08;Altri disturbi dei denti e delle loro strutture di sostegno
K09;Cisti della regione orale non classificate altrove
K10;Altre malattie dei mascellari
K11;Malattie delle ghiandole salivari
K12;Stomatiti e lesioni correlate
K13;Altre malattie delle labbra e della mucosa orale
K14;Malattie della lingua
K20;Esofagite
K21;Malattia da reflusso gastroesofageo
K22;Altre malattie dell'esofago
K23;Disturbi dell'esofago in malattie classificate altrove
K25;Ulcera gastrica
K26;Ulcera duodenale
K27;Ulcera peptica di sede non specificata
K28;Ulcera gastrodigiunale
K29;Gastrite e duodenite
K30;Dispepsia
K31;Altre malattie dello stomaco e del duodeno
K35;Appendicite acuta
K36;Altre forme di appendicite
K37;Appendicite non specificata
K38;Altre malattie dell'appendice
K40;Ernia inguinale
K41;Ernia femorale
K42;Ernia ombelicale
K43;Ernia addominale
K44;Ernia diaframmatica
K45;Altre ernie addominali
K46;Ernia addominale non specificata
K50;Morbo di Crohn [enterite regionale]
K51;Colite ulcerosa
K52;Altre gastroenteriti e coliti non infettive
K55;Disturbi vascolari dell'intestino
K56;Ileo paralitico ed ostruzione intestinale senza ernia
K57;Malattia diverticolare dell'intestino
K58;Sindrome dell'intestino irritabile
K59;Altri disturbi intestinali di tipo funzionale
K60;Ragade e fistola della regione anale e rettale
K61;Ascesso della regione anale e rettale
K62;Altre malattie dell'ano e del retto
K63;Altre malattie dell'intestino
K65;Peritonite
K66;Altri disturbi del peritoneo
K67;Disturbi del peritoneo in malattie infettive classificate altrove
K70;Epatopatia alcolica
K71;Epatopatia tossica
K72;Insufficienza epatica non classificata altrove
K73;Epatite cronica non classificata altrove
K74;Fibrosi e cirrosi epatiche
K75;Altre malattie infiammatorie del fegato
K76;Altre malattie del fegato
K77;Disturbi epatici in malattie classificate altrove
K80;Colelitiasi
K81;Colecistite
K82;Altre malattie della colecisti
K83;Altre malattie delle vie biliari
K85;Pancreatite acuta
K86;Altre malattie del pancreas
K87;Disturbi della colecisti delle vie biliari e del pancreas in malattie classificate altrove
K90;Malassorbimento intestinale
K91;Disturbi iatrogeni dell'apparato digerente non classificati altrove
K92;Altre malattie dell'apparato digerente
K93;Disturbi di altri organi dell'apparato digerente in malattie classificate altrove
L00;Dermatite esfoliativa infantile (staffilococcia)
L01;Impetigine
L02;Ascesso cutaneo foruncolo e favo
L03;Cellulite
L04;Linfadenite acuta
L05;Cisti pilonidale
L08;Altre infezioni locali della cute e del tessuto sottocutaneo
L10;Pemfigo
L11;Altri disturbi acantolitici
L12;Pemfigoide
L13;Altre malattie bollose
L14;Malattie bollose in malattie classificate altrove
L20;Dermatite atopica
L21;Dermatite seborroica
L22;Dermatite da pannolino
L23;Dermatite allergica da contatto
L24;Dermatite irritativa da contatto
L25;Dermatite da contatto non specificata
L26;Dermatite esfoliativa
L27;Dermatite da assunzione di sostanze per via interna [orale enterica o parenterale]
L28;Lichen simplex chronicus e prurigo
L29;Prurito
L30;Altre dermatiti
L40;Psoriasi
L41;Parapsoriasi
L42;Pitiriasi rosea
L43;Lichen planus
L44;Altri disturbi papulosquamosi
L45;Disturbi papulosquamosi in malattie classificate altrove
L50;Orticaria
L51;Eritema polimorfo
L52;Eritema nodoso
L53;Altre condizioni morbose eritematose
L54;Eritema in malattie classificate altrove
L55;Ustione solare
L56;Altre alterazioni acute della cute da radiazioni ultraviolette
L57;Alterazioni cutanee da esposizione cronica a radiazioni non ionizzanti
L58;Radiodermite
L59;Altri disturbi specificati della cute e dei tessuti sottocutanei correlati a radiazioni
L60;Disturbi delle unghie
L62;Disturbi delle unghie in malattie classificate altrove
L63;Alopecia areata
L64;Alopecia androgenica
L65;Altra forma di perdita di capelli o peli non cicatriziale
L66;Alopecia cicatriziale [perdita di capelli o peli cicatriziale]
L67;Anomalie del colore e del fusto dei capelli o dei peli
L68;Ipertricosi
L70;Acne
L71;Rosacea
L72;Cisti follicolari della cute e del tessuto sottocutaneo
L73;Altri disturbi del follicolo pilifero
L74;Disturbi delle ghiandole sudoripare eccrine
L75;Disturbi delle ghiandole sudoripare apocrine
L80;Vitiligine
L81;Altri disturbi di pigmentazione
L82;Cheratosi seborroica
L83;Acanthosis nigricans
L84;Calli e callosità
L85;Altre forme di ispessimento epidermico
L86;Cheratodermia in malattie classificate altrove
L87;Disturbi dell’eliminazione transepidermica
L88;Pioderma gangrenoso
L89;Ulcera da decubito
L90;Disturbi atrofici della cute
L91;Disturbi ipertrofici della cute
L92;Disturbi granulomatosi della cute e del tessuto sottocutaneo
L93;Lupus eritematoso
L94;Altri disturbi localizzati del tessuto connettivo
L95;Vasculite limitata alla cute non classificata altrove
L97;Ulcera di arto inferiore non classificata altrove
L98;Altri disturbi della cute e del tessuto sottocutaneo non classificati altrove
L99;Altri disturbi della cute e del tessuto sottocutaneo in malattie classificate altrove
M00;Artrite piogenica
M01;Infezioni dirette delle articolazioni in malattie infettive e parassitarie classificate altrove
M02;Artropatie reattive
M03;Artropatie post-infettive e reattive in malattie classificate altrove
M05;Artrite reumatoide sieropositiva
M06;Altre artriti reumatoidi
M07;Artropatie psoriasiche ed enteropatiche
M08;Artrite giovanile
M09;Artrite giovanile in malattie classificate altrove
M10;Gotta
M11;Altre artropatie da microcristalli
M12;Altre artropatie specifiche
M13;Altre artriti
M14;Artropatie in altre malattie classificate altrove
M15;Poliartrosi
M16;Coxartrosi [artrosi dell’anca]
M17;Gonartrosi [artrosi del ginocchio]
M18;Artrosi della prima articolazione carpometacarpica
M19;Altre artrosi
M20;Deformazioni acquisite delle dita della mano e del piede
M21;Altre deformazioni acquisite degli arti
M22;Disturbi della rotula
M23;Lesione interna del ginocchio
M24;Altre lesioni articolari specifiche
M25;Altri disturbi articolari non classificati altrove
M30;Panarterite nodosa e condizioni morbose correlate
M31;Altre vasculopatie necrotizzanti
M32;Lupus eritematoso sistemico
M33;Dermatopolimiosite
M34;Sclerosi sistemica
M35;Altro interessamento sistemico del tessuto connettivo
M36;Disturbi sistemici del tessuto connettivo in malattie classificate altrove
M40;Cifosi e lordosi
M41;Scoliosi
M42;Osteocondrosi vertebrale
M43;Altre dorsopatie deformanti
M45;Spondilite anchilosante
M46;Altre spondilopatie infiammatorie
M47;Spondilosi
M48;Altre spondilopatie
M49;Spondilopatie in malattie classificate altrove
M50;Disturbi dei dischi intervertebrali cervicali
M51;Disturbi di altri dischi intervertebrali
M53;Altre dorsopatie non classificate altrove
M54;Dorsalgia
M60;Miosite
M61;Calcificazione ed ossificazione dei muscoli
M62;Altri disturbi muscolari
M63;Disturbi muscolari in malattie classificate altrove
M65;Sinovite e tenosinovite
M66;Rottura spontanea delle sinovie e dei tendini
M67;Altri disturbi delle sinovie e dei tendini
M68;Disturbi delle sinovie e dei tendini in malattie classificate altrove
M70;Malattie dei tessuti molli correlati ad uso uso eccessivo e pressione
M71;Altre borsopatie
M72;Disturbi fibroblastici
M73;Disturbi dei tessuti molli in malattie classificate altrove
M75;Lesioni della spalla
M76;Entesopatie di arto inferiore escluso il piede
M77;Altre entesopatie
M79;Altri disturbi dei tessuti molli non classificati altrove
M80;Osteoporosi con frattura patologica
M81;Osteoporosi senza frattura patologica
M82;Osteoporosi in malattie classificate altrove
M83;Osteomalacia dell’adulto
M84;Alterazioni di continuità di osso
M85;Altre alterazioni della densità e della struttura delle ossa
M86;Osteomielite
M87;Osteonecrosi
M88;Malattia di Paget delle ossa [ostelte deformante]
M89;Altri disturbi ossei
M90;Osteopatie in malattie classificate altrove
M91;Osteocondrosi giovanile dell’anca e della pelvi
M92;Altre osteocondrosi giovanili
M93;Altre osteocondropatie
M94;Altri disturbi della cartilagine
M95;Altre deformazioni acquisite del sistema osteomuscolare e del tessuto connettivo
M96;Disturbi osteomuscolari iatrogeni non classificati altrove
M99;Lesioni biomeccaniche non classificate altrove
N00;Sindrome nefritica acuta
N01;Sindrome nefritica rapidamente progressiva
N02;Ematuria ricorrente e persistente
N03;Sindrome nefritica cronica
N04;Sindrome nefrosica
N05;Sindrome nefritica non specificata
N06;Proteinuria isolata con lesione morfologica specificata
N07;Nefropatia ereditaria non classificata altrove
N08;Disturbi glomerulari in malattie classificate altrove
N10;Nefrite tubulo-interstiziale acuta
N11;Nefrite cronica tubulo-interstiziale
N12;Nefrite tubulo-interstiziale non specificata se acuta o cronica
N13;Uropatia ostruttiva e da reflusso
N14;Condizioni morbose tubulari e tubulo-interstiziali indotte da farmaci o metalli pesanti
N15;Altre malattie renali tubulo-interstiziali
N16;Disturbi tubulo-interstiziali renali in malattie classificate altrove
N17;Insufficienza renale acuta
N18;Insufficienza renale cronica
N19;Insufficienza renale non specificata
N20;Calcolosi del rene e dell’uretere
N21;Calcolo delle basse vie urinarie
N22;Calcolo delle vie urinarie in malattie classificate altrove
N23;Colica renale non specificata
N25;Disturbi risultanti da ridotta funzionalità dei tubuli renali
N26;Rene grinzo non specificato
N27;Rene piccolo da causa sconosciuta
N28;Altri disturbi del rene e dell’uretere non classificati altrove
N29;Altri disturbi del rene e dell’uretere in malattie classificate altrove
N30;Cistite
N31;Disfunzione neuromuscolare della vescica non classificata altrove
N32;Altri disturbi della vescica
N33;Disturbi della vescica in malattie classificate altrove
N34;Uretrite e sindrome uretrale
N35;Stenosi uretrale
N36;Altri disturbi dell’uretra
N37;Disturbi dell’uretra in malattie classificate altrove
N39;Altri disturbi dell’apparato urinario
N40;Iperplasia della prostata
N41;Malattie infiammatorie della prostata
N42;Altri disturbi della prostata
N43;Idrocele e spermatocele
N44;Torsione di testicolo
N45;Orchite ed epididimite
N46;Infertilità maschile
N47;Ipertrofia prepuziale fimosi e paraffinosi
N48;Altri disturbi del pene
N49;Disturbi infiammatori dell’apparato genitale maschile non classificati altrove
N50;Altri disturbi dell’apparato genitale maschile
N51;Disturbi di organi genitali maschili in malattie classificate altrove
N60;Displasia mammaria benigna
N61;Disturbi infiammatori della mammella
N62;Ipertrofia della mammella
N63;Nodulo della mammella non specificato
N64;Altri disturbi della mammella
N70;Salpingite ed coforite
N71;Malattia infiammatoria dell’utero cervice esclusa
N72;Malattia infiammatoria della cervice uterina
N73;Altre malattie infiammatorie della pelvi femminile
N74;Disturbi infiammatori della pelvi femminile in malattie classificate altrove
N75;Malattie della ghiandola di Bartolino
N76;Altre infiammazioni della vagina e della vulva
N77;Ulcerazione ed infiammazione vulvovaginali in malattie classificate altrove
N80;Endometriosi
N81;Prolasso genitale femminile
N82;Fistole interessanti l’apparato genitale femminile
N83;Disturbi non infiammatori di ovalo tube di Falloppio e legamento largo
N84;Polipo dell’apparato genitale femminile
N85;Altri disturbi non infiammatori dell’utero esclusa la cervice uterina
N86;Erosione ed ectropion della cervice uterina
N87;Displasia della cervice dell’utero
N88;Altri disturbi non infiammatori della cervice dell’utero
N89;Altri disturbi non infiammatori della vagina
N90;Altri disturbi non infiammatori della vulva e del perineo
N91;Amenorrea oligomenorrea ed ipomenorrea
N92;Menorragia polimenorrea e metrorragia
N93;Altri sanguinamenti uterini e vaginali anormali
N94;Dolore e altre condizioni morbose associate agli organi genitali femminili o al ciclo mestruale
N95;Disturbi menopausali e perimenopausali
N96;Aborto ricorrente
N97;Infertilità femminile
N98;Complicanze associate a fecondazione artificiale
N99;Disturbi iatrogeni delle vie genitourinarie non classificati altrove
O00;Gravidanza ectopica
O01;Mola idatiforme
O02;Altri prodotti anormali del concepimento
O03;Aborto spontaneo
O04;Aborto per ragioni mediche e legali
O05;Altro tipo di aborto
O06;Aborto non specificato
O07;Tentativo fallito di aborto
O08;Complicanze successive ad aborto e a gravidanza ectopica o molare
O10;Ipertensione preesistente complicante la gravidanza il parto e il puerperio
O11;Disturbo ipertensivo preesistente con proteinuria sovrapposta
O12;Edema e proteinuria gestazionali [indotte da gravidanza] senza ipertensione
O13;Ipertensione gestazionale [indotta da gravidanza] senza proteinuria significativa
O14;Ipertensione gestazionale [indotta da gravidanza] con proteinuria significativa
O15;Eclampsia
O16;Ipertensione materna non specificata
O20;Emorragia nella fase iniziale di gravidanza
O21;Iperemesi gravidica
O22;Complicanze venose in gravidanza
O23;Infezioni dell’apparato genitourinario in gravidanza
O24;Diabete mellito in gravidanza
O25;Malnutrizione in gravidanza
O26;Assistenza prestata alla madre per altre condizioni morbose correlate soprattutto alla gravidanza
O28;Risultati anormali riscontrati a screening prenatale della madre
O29;Complicanze di anestesia in gravidanza
O30;Gravidanza multipla
O31;Complicanze specifiche di gravidanza multipla
O32;Assistenza prestata alla madre per presentazione anormale del feto accertata o presunta
O33;Assistenza prestata alla madre per sproporzione accertata o presunta
O34;Assistenza prestata alla madre per anomalia di organi pelvici accertata o presunta
O35;Assistenza prestata alla madre per anormalità o lesioni fetali accertate o sospettate
O36;Assistenza prestata alla madre per altri problemi fetali accertati o presunti
O40;Polidramnio(s)
O41;Altri disturbi del liquido amniotico e delle membrane
O42;Rottura prematura delle membrane
O43;Disturbi placentari
O44;Placenta previa
O45;Distacco prematuro di placenta [abruptio placentae]
O46;Emorragia preparto non classificata altrove
O47;Falso travaglio di parto
O48;Gravidanza prolungata
O60;Parto pretermine
O61;Tentativo fallito di induzione del travaglio di parto
O62;Anomalie delle forze propulsive del travaglio di parto
O63;Travaglio di parto prolungato
O64;Distocia da posizione o presentazione anomala del feto
O65;Distocia da anomalia pelvica della madre
O66;Altra distocia
O67;Travaglio e parto complicati da emorragia intraparto non classificata altrove
O68;Travaglio e parto complicati da sofferenza [distress] fetale
O69;Travaglio e parto complicati da anomalie del cordone ombelicale
O70;Lacerazione perineale durante il parto
O71;Altri traumatismi ostetrici
O72;Emorragia postparto
O73;Ritenzione della placenta e delle membrane senza emorragia
O74;Complicanze di anestesia durante il travaglio e il parto
O75;Altre complicanze del travaglio e del parto non classificate altrove
O80;Parto singolo spontaneo
O81;Parto singolo con applicazione di forcipe e ventosa ostetrica
O82;Parto singolo con taglio cesareo
O83;Altro parto singolo assistito
O84;Parto multiplo
O85;Sepsi puerperale
O86;Altre infezioni puerperali
O87;Complicanze venose durante il puerperio
O88;Embolia ostetrica
O89;Complicanze di anestesia durante il puerperio
O90;Complicanze del puerperio non classificate altrove
O91;Infezioni della mammella associate al parto
O92;Altri disturbi della mammella e della lattazione associati al parto
O95;Morte ostetrica da causa non specificata
O96;Morte per qualsiasi causa ostetrica che avvenga più di 42 giorni ma meno di un anno dopo il parto
O97;Morte per sequele di cause ostetriche dirette
O98;Malattie infettive e parassitarie materne classificabili altrove ma complicanti la gravidanza il parto ed il puerperio
O99;Altre malattie della madre classificabili altrove ma complicanti la gravidanza il parto ed il puerperio
P00;Feto e neonato affetti da condizioni materne che possono non essere correlate alla gravidanza attuale
P01;Feto e neonato affetti da complicanze materne della gravidanza
P02;Feto e neonato affetti da complicanze della placenta del cordone ombelicale e delle membrane
P03;Feto e neonato affetti da altre complicanze del travaglio e del parto
P04;Feto e neonato affetti da effetti nocivi trasmessi per via placentare o tramite il latte materno
P05;Ritardo di crescita e malnutrizione del feto
P07;Disturbi correlati a gestazione breve ed a basso peso alla nascita non classificati altrove
P08;Disturbi correlati a gestazione prolungata e ad elevato peso alla nascita
P10;Lacerazioni ed emorragie intracraniche da traumi da parto
P11;Altre lesioni del sistema nervoso centrale da trauma da parto
P12;Trauma da parto del cuoio capelluto
P13;Trauma da parto dello scheletro
P14;Trauma da parto del sistema nervoso periferico
P15;Altro trauma da parto
P20;Ipossia intrauterina
P21;Asfissia alla nascita
P22;Sofferenza [distress] respiratoria(o) del neonato
P23;Polmonite congenita
P24;Sindrome di aspirazione neonatale
P25;Enfisema interstiziale e condizioni morbose correlate che hanno origine nel periodo perinatale
P26;Emorragia polmonare che ha origine nel periodo perinatale
P27;Malattia respiratoria cronica che ha origine nel periodo perinatale
P28;Altre condizioni morbose respiratorie che hanno origine nel periodo perinatale
P29;Disturbi cardiovascolari che hanno origine nel periodo perinatale
P35;Malattie virali congenite
P36;Sepsi batterica del neonato
P37;Altre malattie infettive e parassitarie congenite
P38;Onfalite del neonato con o senza lieve emorragia
P39;Altre infezioni specifiche del periodo perinatale
P50;Perdita di sangue fetale
P51;Emorragia ombelicale del neonato
P52;Emorragia intracranica non traumatica del feto e del neonato
P53;Malattia emorragica del feto e del neonato
P54;Altre emorragie neonatali
P55;Malattia emolitica del feto e del neonato
P56;Idrope fetale dovuta a malattia emolitica
P57;Ittero nucleare [kernicterus]
P58;Ittero del neonato da altre emolisi eccessive
P59;Ittero del neonato dovuto ad altre e non specificate cause
P60;Coagulazione intravascolare disseminata del feto e del neonato
P61;Altri disturbi ematologici del periodo perinatale
P70;Disturbi transitori del metabolismo dei carboidrati specifici del feto e del neonato
P71;Disturbi transitori del metabolismo del calcio e del magnesio del neonato
P72;Altri disturbi endocrini transitori del neonato
P74;Altri disturbi elettrolitici e metabolici transitori del neonato
P75;Ileo da meconio (E84.1)
P76;Altra ostruzione intestinale del neonato
P77;Enterocolite necrotizzante del feto e del neonato
P78;Altri disturbi perinatali dell’apparato digerente
P80;Ipotermia del neonato
P81;Altri disturbi della termoregolazione del neonato
P83;Altre condizioni morbose della cute specifiche del feto e del neonato
P90;Convulsioni del neonato
P91;Altri disturbi cerebrali del neonato
P92;Problemi d’alimentazione del neonato
P93;Reazioni ed intossicazioni da farmaci somministrati al feto ed al neonato
P94;Disturbi del tono muscolare del neonato
P95;Morte fetale per causa non specificata
P96;Altre condizioni morbose che hanno origine nel periodo perinatale
Q00;Anencefalia e malformazioni similari
Q01;Encefalocele
Q02;Microcefalia
Q03;Idrocefalo congenito
Q04;Altre malformazioni congenite dell’encefalo
Q05;Spina bifida
Q06;Altre malformazioni congenite del midollo spinale
Q07;Altre malformazioni congenite del sistema nervoso
Q10;Malformazioni congenite delle palpebre dell’apparato lacrimale e dell’orbita
Q11;Anoftalmo microftalmo e macroftalmo
Q12;Malformazioni congenite del cristallino
Q13;Malformazioni congenite del segmento anteriore dell’occhio
Q14;Malformazioni congenite del segmento posteriore dell'occhio
Q15;Altre malformazioni congenite dell'occhio
Q16;Malformazioni congenite dell'orecchio causanti deficit uditivo
Q17;Altre malformazioni congenite dell'orecchio
Q18;Altre malformazioni congenite della faccia e del collo
Q20;Malformazioni congenite delle cavità e delle connessioni cardiache
Q21;Malformazioni congenite dei setti cardiaci
Q22;Malformazioni congenite della valvola polmonare e della valvola tricuspide
Q23;Malformazioni congenite della valvola aortica e della mittale
Q24;Altre malformazioni congenite del cuore
Q25;Malformazioni congenite delle grandi arterie
Q26;Malformazioni congenite dei grossi vasi venosi
Q27;Altre malformazioni congenite del sistema vascolare periferico
Q28;Altre malformazioni congenite dell'apparato circolatorio
Q30;Malformazioni congenite del naso
Q31;Malformazioni congenite della laringe
Q32;Malformazioni congenite della trachea e dei bronchi
Q33;Malformazioni congenite del polmone
Q34;Altre malformazioni congenite dell'apparato respiratorio
Q35;Schisi del palato
Q36;Schisi del labbro
Q37;Palatoschisi con chelioschisi bilaterale
Q38;Altre malformazioni congenite della lingua della bocca e della faringe
Q39;Malformazioni congenite dell'esofago
Q40;Altre malformazioni congenite delle vie digerenti superiori
Q41;Assenza attesia e stenosi congenite dell'intestino tenue
Q42;Assenza attesia e stenosi congenite del colon
Q43;Altre malformazioni congenite dell'intestino
Q44;Malformazioni congenite della colecisti delle vie biliari e del fegato
Q45;Altre malformazioni congenite dell'apparato digerente
Q50;Malformazioni congenite delle ovaie delle tube di Falloppio e dei legamenti larghi
Q51;Malformazioni congenite dell'utero e della cervice uterina
Q52;Altre malformazioni congenite degli organi genitali femminili
Q53;Ritenzione testicolare
Q54;Ipospadia
Q55;Altre malformazioni congenite degli organi genitali maschili
Q56;Sesso indeterminato e pseudoermafroditismo
Q60;Agenesia renale ed altri difetti per riduzione del rene
Q61;Malattia cistica del rene
Q62;Anomalie ostrutive congenite del bacinetto renale e malformazioni congenite dell’uretere
Q63;Altre malformazioni congenite del rene
Q64;Altre malformazioni congenite dell'apparato urinario
Q65;Deformazioni congenite dell'anca
Q66;Deformazioni congenite dei piedi
Q67;Deformazioni congenite osteomuscolari della testa della faccia della colonna vertebrale e del torace
Q68;Altre deformazioni congenite osteomuscolari
Q69;Polidattilia
Q70;Sindattilia
Q71;Malformazioni per difetto di arto superiore
Q72;Malformazioni per difetto di arto inferiore
Q73;Malformazione per difetto di arto non specificato
Q74;Altre malformazioni congenite di arto(i)
Q75;Altre malformazioni congenite del cranio e di ossa della faccia
Q76;Malformazioni congenite della colonna vertebrale e della gabbia toracica
Q77;Osteocondrodisplasia con difetti di crescita delle ossa lunghe e della colonna vertebrale
Q78;Altre osteocondrodisplasie
Q79;Malformazioni congenite del sistema osteomuscolare non classificate altrove
Q80;Ittiosi congenita
Q81;Epidermolisi bollosa
Q82;Altre malformazioni congenite della cute
Q83;Malformazioni congenite della mammella
Q84;Altre malformazioni congenite del tegumento
Q85;Facomatosi non classificate altrove
Q86;Sindromi malformative congenite da cause esogene conosciute non classificate altrove
Q87;Altre sindromi malformative congenite specificate di apparati multipli
Q89;Altre malformazioni congenite non classificate altrove
Q90;Sindrome di Down
Q91;Sindrome di Edwards e sindrome di Patau
Q92;Altre trisomie e trisomie parziali di autosomi non classificate altrove
Q93;Monosomie e delezioni di autosomi non classificate altrove
Q95;Riarrangiamenti bilanciati e marcatori strutturali non classificati altrove
Q96;Sindrome di Turner
Q97;Altre anomalie dei cromosomi sessuali fenotipo femminile non classificate altrove
Q98;Altre anomalie dei cromosomi sessuali fenotipo maschile non classificate altrove
Q99;Altre anomalie dei cromosomi non classificate altrove
R00;Anormalità del battito cardiaco
R01;Soffi ed altri rumori cardiaci
R02;Gangrena non classificata altrove
R03;Riscontro non diagnostico di valore anormale di pressione sanguigna arteriosa
R04;Emorragia delle vie respiratorie
R05;Tosse
R06;Anormalità respiratorie
R07;Dolore alla gola e dolore toracico
R09;Altri sintomi e segni che interessano gli apparati circolatorio e respiratorio
R10;Dolore addominale e pelvico
R11;Nausea e vomito
R12;Pirosi
R13;Disfagia
R14;Flatulenza e condizioni correlate
R15;Incontinenza fecale
R16;Epatomegalia e splenomegalia non classificate altrove
R17;Ittero non specificato
R18;Ascite
R19;Altri sintomi e segni che interessano l'apparato digerente e l'addome
R20;Disturbi della sensibilità cutanea
R21;Rash ed altre eruzioni cutanee non specifiche
R22;Tumefazione massa e gonfiore localizzati della cute e del tessuto sottocutaneo
R23;Altre alterazioni cutanee
R25;Movimenti involontari anormali
R26;Anormalità dell'andatura e della motilità
R27;Altra mancanza di coordinazione
R29;Altri sintomi e segni che interessano il sistema nervoso ed il sistema osteomuscolare
R30;Dolore associato alla minzione
R31;Ematuria non specificata
R32;Incontinenza urinaria non specificata
R33;Ritenzione urinaria
R34;Anuria e oliguria
R35;Poliuria
R36;Secrezione uretrale
R39;Altri sintomi e segni che interessano l'apparato urinario
R40;Sonnolenza stupor e coma
R41;Altri sintomi e segni che interessano le funzioni cognitive e lo stato di coscienza
R42;Vertigine
R43;Disturbi dell'olfatto e del gusto
R44;Altri sintomi e segni che interessano le sensazioni e le percezioni generali
R45;Sintomi e segni che interessano lo stato emotivo
R46;Sintomi e segni che interessano l'aspetto e il comportamento
R47;Disturbi del linguaggio non classificati altrove
R48;Dislessia ed altri distrurbi della funzione simbolica non classificate altrove
R49;Disturbi della voce
R50;Febbre di origine sconosciuta
R51;Cefalea
R52;Dolore non classificato altrove
R53;Malessere ed affaticamento
R54;Senilità
R55;Sincope e collasso
R56;Convulsioni non classificate altrove
R57;Shock non classificato altrove
R58;Emorragia non classificata altrove
R59;Adenomegalia
R60;Edema non classificato altrove
R61;Iperidrosi
R62;Ritardo del normale sviluppo fisiologico
R63;Sintomi e segni che interessano l'assunzione di cibo e liquidi
R64;Cachessia
R68;Altri sintomi e segni generali
R69;Cause sconosciute e non specificate di morbosità
R70;Aumento della velocità di entrosedimentazione e anormalità della viscosità plasmatica
R71;Anomalie dei globuli rossi
R72;Anomalità dei globuli bianchi non classificate altrove
R73;Aumento della glicemia
R74;Tassi anormali di enzimi sierici
R75;Messa in evidenza con esami di laboratorio del virus dell'immunodeficienza umana [HIV]
R76;Altri risultati immunologici sierici anormali
R77;Altri risultati anormali delle proteine plasmatica
